Potential energy data
X 71 Y 71 
    5782      5769      5747      5720      5689      5656      5622
    5588      5554      5522      5490      5460      5432      5405
    5380      5357      5335      5315      5296      5279      5263
    5249      5236      5223      5212      5202      5192      5184
    5176      5169      5162      5156      5151      5146      5142
    5138
 
   -5089    -11029    -15036    -17507    -18784    -19147    -18822
  -17992    -16799    -15360    -13763    -12079    -10362     -8656
   -6992     -5393     -3879     -2461     -1148        53      1140
    2111      2968      3714      4351      4888      5332      5691
    5976      6196      6361      6481      6564      6617      6646
    6658      6656      6644      6624      6600      6572      6542
    6511      6480      6450      6420      6392      6365      6339
    6315      6292      6271      6252      6233      6217      6201
    6187      6174      6161      6150      6140      6131      6122
    6115      6108      6101      6095      6090      6085      6081
    6077
 
   -5322    -11276    -15281    -17745    -19012    -19364    -19026
  -18182    -16974    -15518    -13903    -12199    -10461     -8731
   -7041     -5413     -3867     -2413     -1062       182      1315
    2336      3246      4046      4739      5332      5830      6240
    6572      6835      7038      7190      7301      7377      7426
    7453      7464      7462      7452      7434      7412      7387
    7360      7332      7304      7277      7250      7224      7200
    7176      7154      7134      7115      7097      7081      7065
    7051      7038      7026      7016      7006      6996      6988
    6980      6973      6967      6961      6956      6951      6946
    6942
 
   -5549    -11513    -15516    -17973    -19231    -19572    -19224
  -18367    -17146    -15676    -14045    -12325    -10569     -8820
   -7107     -5456     -3883     -2400     -1016       263      1435
    2499      3454      4303      5047      5691      6240      6701
    7080      7386      7628      7815      7955      8057      8127
    8172      8197      8207      8206      8196      8181      8161
    8138      8114      8089      8063      8038      8014      7991
    7969      7948      7928      7909      7892      7876      7861
    7847      7834      7823      7812      7802      7793      7785
    7777      7770      7764      7758      7753      7748      7743
    7739
 
   -5768    -11737    -15737    -18188    -19438    -19771    -19413
  -18545    -17314    -15831    -14188    -12454    -10683     -8917
   -7187     -5516     -3921     -2414     -1003       307      1512
    2611      3606      4496      5285      5976      6572      7080
    7505      7855      8137      8359      8531      8660      8753
    8817      8859      8882      8892      8891      8882      8868
    8850      8829      8807      8785      8762      8739      8717
    8696      8676      8657      8639      8622      8606      8592
    8578      8566      8554      8544      8534      8525      8517
    8509      8502      8496      8490      8485      8480      8476
    8472
 
   -5976    -11950    -15946    -18391    -19634    -19959    -19592
  -18716    -17475    -15982    -14328    -12583    -10799     -9020
   -7274     -5587     -3974     -2446     -1013       321      1553
    2683      3710      4637      5464      6196      6835      7386
    7855      8246      8568      8827      9032      9189      9307
    9393      9452      9490      9512      9520      9520      9512
    9499      9483      9464      9445      9424      9403      9383
    9363      9344      9326      9308      9292      9277      9263
    9249      9237      9226      9215      9206      9197      9189
    9181      9175      9168      9163      9157      9153      9148
    9144
 
   -6174    -12149    -16142    -18582    -19819    -20136    -19762
  -18878    -17629    -16128    -14465    -12709    -10915     -9124
   -7367     -5665     -4037     -2494     -1042       312      1567
    2722      3777      4734      5594      6361      7038      7628
    8137      8568      8928      9224      9462      9650      9794
    9902      9981     10035     10070     10089     10098     10097
   10090     10079     10064     10047     10029     10011      9992
    9973      9955      9938      9921      9906      9891      9877
    9864      9853      9841      9831      9822      9813      9805
    9798      9791      9785      9779      9774      9769      9765
    9761
 
   -6360    -12335    -16325    -18760    -19991    -20302    -19922
  -19032    -17775    -16267    -14596    -12832    -11030     -9229
   -7461     -5749     -4108     -2551     -1085       287      1560
    2735      3813      4795      5684      6481      7190      7815
    8359      8827      9224      9555      9826     10045     10216
   10349     10448     10519     10569     10601     10619     10627
